date,location,name,organization,type of death,url
"mid-April, 2005","Baghdad, Iraq",Ahmed al-Rubai'i,Al-Sabah,Murder,https://cpj.org/data/people/ahmed-al-rubaii/index.php
"February 16, 2016","Taiz, Yemen",Ahmed al-Shaibani,"Yaman News, Yemen TV",Crossfire,https://cpj.org/data/people/ahmed-al-shaibani/index.php
"July 8, 2013","Cairo, Egypt",Ahmed Assem el-Senousy,Freedom and Justice,Dangerous Assignment,https://cpj.org/data/people/ahmed-assem-el-senousy/index.php
"August 10, 2018","Urum al-Kubra, Syria",Ahmed Azize,Aleppo News Network,Crossfire,https://cpj.org/data/people/ahmed-azize/index.php
"October 23, 2012","Las Anod, Somalia",Ahmed Farah Ilyas,Universal TV,Murder,https://cpj.org/data/people/ahmed-farah-ilyas/index.php
"January 5, 2007","Baghdad, Iraq",Ahmed Hadi Naji,Associated Press Television News,Murder,https://cpj.org/data/people/ahmed-hadi-naji/index.php
"July 26, 1993","Beirut, Lebanon",Ahmed Haidar,Al-Manar Television,Crossfire,https://cpj.org/data/people/ahmed-haidar/index.php
"June 20, 2014","Damascus, Syria",Ahmed Hasan Ahmed,Xinhua News Agency,Dangerous Assignment,https://cpj.org/data/people/ahmed-hasan-ahmed/index.php
"May 16, 2007","Jowhar, Somalia",Ahmed Hassan Mahad,Radio Jowhar,Crossfire,https://cpj.org/data/people/ahmed-hassan-mahad/index.php
"November 7, 2005","Mosul, Iraq",Ahmed Hussein Al-Maliki,Talafar al-Yawm,Murder,https://cpj.org/data/people/ahmed-hussein-al-maliki/index.php
"March 31, 2012","Salmabad, Bahrain",Ahmed Ismail Hassan,Freelance,Dangerous Assignment,https://cpj.org/data/people/ahmed-ismail-hassan/index.php
"November 30, 1994","Unknown, Algeria",Ahmed Issaad,Algerian Television,Murder,https://cpj.org/data/people/ahmed-issaad/index.php
"April 1, 2005","Baghdad, Iraq",Ahmed Jabbar Hashim,Al-Sabah,Murder,https://cpj.org/data/people/ahmed-jabbar-hashim/index.php
"January 26, 2000","Mogadishu, Somalia",Ahmed Kafi Awale,Radio of the Somali People,Dangerous Assignment,https://cpj.org/data/people/ahmed-kafi-awale/index.php
"December 16, 2015","Idlib, Syria",Ahmed Mohamed al-Mousa,Raqqa is Being Slaughtered Silently,Murder,https://cpj.org/data/people/ahmed-mohamed-al-mousa/index.php
