date,location,name,organization,type of death,url
"April 29, 1992","Kiunga, Papua New Guinea",Per-Ove Carlsson,Freelancer,Murder,https://cpj.org/data/people/per-ove-carlsson/index.php
"December 6, 2010","Ghalanai, Pakistan",Pervez Khan,Waqt TV,Dangerous Assignment,https://cpj.org/data/people/pervez-khan/index.php
"September 24, 2011","Yala, Thailand",Phamon Phonphanit,Sue Samut Atyakam,Dangerous Assignment,https://cpj.org/data/people/phamon-phonphanit/index.php
"May 10, 2005","Paltic, Philippines",Philip Agustin,Starline Times Recorder,Murder,https://cpj.org/data/people/philip-agustin/index.php
"December 15, 1998","Jalisco, Mexico",Philip True,San Antonio Express-News,Murder,https://cpj.org/data/people/philip-true/index.php
"January 7, 2015","Paris, France",Philippe Honoré,Freelance,Murder,https://cpj.org/data/people/philippe-honore/index.php
"August 31, 1994","Baidoa, Somalia",Pierre Anceaux,freelance,Murder,https://cpj.org/data/people/pierre-anceaux/index.php
"November 11, 2001","Takhar Province, Afghanistan",Pierre Billaud,Radio Télévision Luxembourg,Crossfire,https://cpj.org/data/people/pierre-billaud/index.php
"June 8, 1994","Kinshasa, Democratic Republic of the Congo",Pierre Kabeya,Kin-Matin,Murder,https://cpj.org/data/people/pierre-kabeya/index.php
"May 28, 1993","Kurgan-Tiube, Tajikistan",Pirimkul Sattori,Khatlon,Murder,https://cpj.org/data/people/pirimkul-sattori/index.php
"August 10, 2000","Srinagar, India",Pradeep Bhatia,The Hindustan Times,Dangerous Assignment,https://cpj.org/data/people/pradeep-bhatia/index.php
"January 6, 2006","Golaghat, India",Prahlad Goala,Asomiya Khabar,Murder,https://cpj.org/data/people/prahlad-goala/index.php
July 2007,"Mahendranagar, Nepal",Prakash Singh Thakuri,Freelance,Murder,https://cpj.org/data/people/prakash-singh-thakuri/index.php
"February 12, 2009","Mullaitheevu district, Sri Lanka",Puniyamoorthy Sathiyamoorthy,freelance,Dangerous Assignment,https://cpj.org/data/people/puniyamoorthy-sathiyamoorthy/index.php
"October 29, 2017","Homouria, Syria",Qais al-Jazar (Qais al-Qadhi),Al-Jisr TV,Crossfire,https://cpj.org/data/people/qais-al-jazar-qais-al-qadhi/index.php
"May 9, 2007","an area outside Kirkuk, Iraq",Raad Mutashar,Al-Raad,Murder,https://cpj.org/data/people/raad-mutashar/index.php
"December 23, 2013","Tikrit, Iraq",Raad Yassin Al-Baddi,Salaheddin TV,Murder,https://cpj.org/data/people/raad-yassin-al-baddi/index.php
"August 3, 1993","Algiers, Algeria",Rabah Zenati,Algerian State Television,Murder,https://cpj.org/data/people/rabah-zenati/index.php
"March 31, 1995","Algiers, Algeria",Rachida Hammadi,Algerian State Television,Murder,https://cpj.org/data/people/rachida-hammadi/index.php
"February 25, 2005","Mosul, Iraq",Raeda Wazzan,Al-Iraqiya,Murder,https://cpj.org/data/people/raeda-wazzan/index.php
"February 19, 2005","Magangué, Colombia",Rafael Enrique Prins Velásquez,Apocalipsis,Murder,https://cpj.org/data/people/rafael-enrique-prins-velasquez/index.php
"August 27, 2005","Baaquba, Iraq",Rafed Mahmoud Said al-Anbagy,Diyala TV and Radio,Murder,https://cpj.org/data/people/rafed-mahmoud-said-al-anbagy/index.php
"March 13, 2002","Ramallah, Israel and the Occupied Palestinian Territory",Raffaele Ciriello,Freelancer,Crossfire,https://cpj.org/data/people/raffaele-ciriello/index.php
"November 23, 2011","Baku, Azerbaijan",Rafiq Tagi,Freelance,Murder,https://cpj.org/data/people/rafiq-tagi/index.php
"May 13, 2016","Siwan, Bihar, India",Rajdev Ranjan,Hindustan,Murder,https://cpj.org/data/people/rajdev-ranjan/index.php
"March 1, 2012","Rewa, India",Rajesh Mishra,Media Raj,Murder,https://cpj.org/data/people/rajesh-mishra/index.php
"October 21, 2017","Brahmanpur Chatti, Ghazipur district, India",Rajesh Mishra,Dainik Jagran,Murder,https://cpj.org/data/people/rajesh-mishra-1/index.php
"September 7, 2013","Muzaffarnagar, Uttar Pradesh, India",Rajesh Verma,IBN 7,Dangerous Assignment,https://cpj.org/data/people/rajesh-verma/index.php
"August 23, 2013","Etawah, Uttar Pradesh, India",Rakesh Sharma,Aaj,Murder,https://cpj.org/data/people/rakesh-sharma/index.php
"November 21, 2002","Sirsa, India",Ram Chander Chaterpatti,Poora Sach,Murder,https://cpj.org/data/people/ram-chander-chaterpatti/index.php
"January 3, 1992","Jalandhar, India",Ram Singh Biling,"Azdi Awaz, Daily Ajit",Dangerous Assignment,https://cpj.org/data/people/ram-singh-biling/index.php
"February 21, 2012","Homs, Syria",Rami al-Sayed,Freelance,Crossfire,https://cpj.org/data/people/rami-al-sayed/index.php
"December 8, 2014","Sheikh Miskeen, Daraa province, Syria",Rami Asmi,Orient News,Crossfire,https://cpj.org/data/people/rami-asmi/index.php
"July 30, 2014","Shijaiyah, Gaza, Israel and the Occupied Palestinian Territory",Rami Rayan,Palestine Network for Press and Media,Crossfire,https://cpj.org/data/people/rami-rayan/index.php
"September 5, 2018","Kabul, Afghanistan",Ramiz Ahmadi,TOLO News,Dangerous Assignment,https://cpj.org/data/people/ramiz-ahmadi/index.php
"August 11, 1996","Grozny, Russia",Ramzan Khadzhiev,Russian Public TV (ORT),Murder,https://cpj.org/data/people/ramzan-khadzhiev/index.php
"October 29, 1999","Shaami Yurt, Russia",Ramzan Mezhidov,TV Tsentr,Crossfire,https://cpj.org/data/people/ramzan-mezhidov/index.php
"January 25, 2015","Western Bahr al Ghazal state, South Sudan",Randa George,Raja FM,Murder,https://cpj.org/data/people/randa-george/index.php
"May 21, 2004","Karbala, Iraq",Rashid Hamid Wali,Al-Jazeera,Crossfire,https://cpj.org/data/people/rashid-hamid-wali/index.php
"October 6, 2008","Anuradhapura, Sri Lanka",Rashmi Mohamed,Sirasa TV,Dangerous Assignment,https://cpj.org/data/people/rashmi-mohamed/index.php
"May 19, 2012","Turbat, Pakistan",Razzaq Gul,Express News TV,Murder,https://cpj.org/data/people/razzaq-gul/index.php
"April 28, 2012","Xalapa, Veracruz, Mexico",Regina Martínez Pérez,Proceso,Murder,https://cpj.org/data/people/regina-martinez-perez-1/index.php
"November 18, 2012","Panjgur, Baluchistan, Pakistan",Rehmatullah Abid,"Dunya News TV, Intikhaab",Murder,https://cpj.org/data/people/rehmatullah-abid/index.php
"August 29, 1995","São Gonçalo, Brazil",Reinaldo Coutinho da Silva,Cachoeiras Jornal,Murder,https://cpj.org/data/people/reinaldo-coutinho-da-silva/index.php
"August 12, 2005","Colombo, Sri Lanka",Relangi Selvarajah,Sri Lanka Rupavahini Corp.,Murder,https://cpj.org/data/people/relangi-selvarajah/index.php
"February 22, 2012","Homs, Syria",Rémi Ochlik,Freelance,Crossfire,https://cpj.org/data/people/remi-ochlik/index.php
"March 30, 1998","Zamboanga City, Philippines",Rey Bancayrin,Radio DXLL,Murder,https://cpj.org/data/people/rey-bancayrin/index.php
"November 23, 2009","Ampatuan, Philippines",Rey Merisco,Periodico Ini,Murder,https://cpj.org/data/people/rey-merisco/index.php
"November 23, 2009","Ampatuan, Philippines",Reynaldo Momay,Midland Review,Murder,https://cpj.org/data/people/reynaldo-momay/index.php
"September 7, 2010","Baghdad, Iraq",Riad al-Saray,Al-Iraqiya,Murder,https://cpj.org/data/people/riad-al-saray/index.php
"January 18, 1995","Luanda, Angola",Ricardo de Mello,Imparcial Fax,Murder,https://cpj.org/data/people/ricardo-de-mello/index.php
"May 13, 1999","Trelew, Argentina",Ricardo Gangeme,El Informador Chubutense,Murder,https://cpj.org/data/people/ricardo-gangeme/index.php
"March 7, 2004","Port-au-Prince, Haiti",Ricardo Ortega,Antena 3,Dangerous Assignment,https://cpj.org/data/people/ricardo-ortega/index.php
"July 5, 2003","Baghdad, Iraq",Richard Wild,freelance,Murder,https://cpj.org/data/people/richard-wild/index.php
"August 20, 2003","Agusan del Sur, Philippines",Rico Ramirez,DXSF Radio,Murder,https://cpj.org/data/people/rico-ramirez/index.php
"August 21, 2010","Tual, Maluku Islands, Indonesia",Ridwan Salamun,Sun TV,Murder,https://cpj.org/data/people/ridwan-salamun/index.php
"July 30, 2006","Mosul, Iraq",Riyad Muhammad Ali,Talafar al-Yawm,Murder,https://cpj.org/data/people/riyad-muhammad-ali/index.php
"June 28, 2018","Annapolis, Maryland, USA",Rob Hiaasen,Capital Gazette,Murder,https://cpj.org/data/people/rob-hiaasen/index.php
"April 4, 2005","Petit-Goâve, Haiti",Robenson Laraque,Tele Contact,Dangerous Assignment,https://cpj.org/data/people/robenson-laraque/index.php
"October 5, 2001","Boca Raton, USA",Robert Stevens,The Sun,Murder,https://cpj.org/data/people/robert-stevens/index.php
"November 21, 2006","Mandinga y Matoza, Mexico",Roberto Marcos García,Testimonio and Alarma,Murder,https://cpj.org/data/people/roberto-marcos-garcia/index.php
"April 27, 2000","Guatemala City, Guatemala",Roberto Martínez,Prensa Libre,Dangerous Assignment,https://cpj.org/data/people/roberto-martinez/index.php
"September 26, 2002","Galashki Region, Ingushetia, Russia",Roddy Scott,Frontline,Crossfire,https://cpj.org/data/people/roddy-scott/index.php
"October 21, 1999","San Onofre, Colombia",Rodolfo Julio Torres,Emisora Fuentes,Murder,https://cpj.org/data/people/rodolfo-julio-torres/index.php
"January 20, 2007","Villahermosa, Mexico",Rodolfo Rincón Taracena,Tabasco Hoy,Murder,https://cpj.org/data/people/rodolfo-rincon-taracena/index.php
"March 8, 2013","Ipatinga, Brazil",Rodrigo Neto,Rádio Vanguarda and Vale do Aço,Murder,https://cpj.org/data/people/rodrigo-neto/index.php
"July 31, 2004","Laoag City, Philippines","Rogelio ""Roger"" Mariano",Radyo Natin-Aksyon Radyo,Murder,https://cpj.org/data/people/rogelio-roger-mariano/index.php
"January 30 to February 24, 2016","Cizre, Turkey",Rohat Aktaş,Azadiya Welat,Unknown,https://cpj.org/data/people/rohat-aktas/index.php
"January 3, 2001","Aklan Province, Philippines",Roland Ureta,Radio DYKR,Murder,https://cpj.org/data/people/roland-ureta/index.php
"July 3, 2005","Polomolok, Philippines","Rolando ""Dodong"" Morales",DXMD,Murder,https://cpj.org/data/people/rolando-dodong-morales/index.php
"September 29, 2004","Bataan Province, Philippines",Romeo (or Romy) Binungcal,Remate and Bulgar,Murder,https://cpj.org/data/people/romeo-or-romy-binungcal/index.php
"November 23, 2009","Ampatuan, Philippines",Romeo Jimmy Cabillo,Midland Review,Murder,https://cpj.org/data/people/romeo-jimmy-cabillo/index.php
"January 11, 1993","Unknown, Philippines",Romeo Lagaspi,Voice of Zambales,Murder,https://cpj.org/data/people/romeo-lagaspi/index.php
"June 13, 2011","Iriga City, Philippines",Romeo Olea,DWEB,Murder,https://cpj.org/data/people/romeo-olea/index.php
"November 23, 2009","Ampatuan, Philippines",Ronnie Perante,Gold Star Daily,Murder,https://cpj.org/data/people/ronnie-perante/index.php
"October 3, 1993","Moscow, Russia",Rory Peck,ARD Television Company,Dangerous Assignment,https://cpj.org/data/people/rory-peck/index.php
"November 23, 2009","Ampatuan, Philippines",Rosell Morales,News Focus,Murder,https://cpj.org/data/people/rosell-morales/index.php
"February 11, 2004","Legazpi City, Philippines",Rowell Endrinal,DZRC,Murder,https://cpj.org/data/people/rowell-endrinal/index.php
"November 23, 2009","Ampatuan, Philippines",Rubello Bataluna,Gold Star Daily,Murder,https://cpj.org/data/people/rubello-bataluna/index.php
"July 31, 2015","Mexico City, Mexico",Rubén Espinosa Becerril,"Proceso, AVC Noticias, Cuartoscuro",Murder,https://cpj.org/data/people/ruben-espinosa-becerril/index.php
"April 6, 2014","Bacoor City, Philippines",Rubylita Garcia,"Remate, dwAD",Murder,https://cpj.org/data/people/rubylita-garcia/index.php
"January 10, 2010","an area near Nawa, Afghanistan",Rupert Hamer,Sunday Mirror,Crossfire,https://cpj.org/data/people/rupert-hamer/index.php
"February 5, 1995","Guasave, Mexico",Ruperto Armenta Gerardo,El Regional,Murder,https://cpj.org/data/people/ruperto-armenta-gerardo/index.php
"November 19, 1997","Hyderabad, India",S. Gangadhara Raju,Eenadu Television (E-TV),Dangerous Assignment,https://cpj.org/data/people/s-gangadhara-raju/index.php
"November 19, 1997","Hyderabad, India",S. Krishna,Eenadu Television (E-TV),Dangerous Assignment,https://cpj.org/data/people/s-krishna/index.php
"September 10, 1993","Algiers, Algeria",Saad Bakhtaoui,El-Minbar,Murder,https://cpj.org/data/people/saad-bakhtaoui/index.php
"March 29, 2011","Tikrit, Iraq",Sabah al-Bazi,Al-Arabiya,Dangerous Assignment,https://cpj.org/data/people/sabah-al-bazi/index.php
"April 30, 2018","Kabul, Afghanistan",Sabawoon Kakar,"Radio Azadi,Radio Free Europe/Radio Liberty",Murder,https://cpj.org/data/people/sabawoon-kakar/index.php
"May 21, 2014","Chuadanga, Bangladesh",Sadrul Alam Nipul,Dainik Mathabhanga,Murder,https://cpj.org/data/people/sadrul-alam-nipul/index.php
"October 26, 2006","Baghdad, Iraq",Saed Mahdi Shlash,Rayat al-Arab,Murder,https://cpj.org/data/people/saed-mahdi-shlash/index.php
"September 8, 2010","Mosul, Iraq",Safa al-Din Abdel Hamid,Al-Mosuliya,Murder,https://cpj.org/data/people/safa-al-din-abdel-hamid/index.php
"September 13, 2006","Baghdad, Iraq",Safa Isma'il Enad,freelance,Murder,https://cpj.org/data/people/safa-ismail-enad/index.php
"February 1, 2004","Arbil, Iraq",Safir Nader,Qulan TV,Crossfire,https://cpj.org/data/people/safir-nader/index.php
"June 5, 2016","Mogadishu, Somalia",Sagal Salad Osman,Radio Mogadishu,Murder,https://cpj.org/data/people/sagal-salad-osman/index.php
"June 7, 2007","Mosul, Iraq",Sahar Hussein Ali al-Haydari,National Iraqi News Agency and Aswat al-Iraq,Murder,https://cpj.org/data/people/sahar-hussein-ali-al-haydari/index.php
"December 6, 2013","Bijapur District, India",Sai Reddy,Deshbandhu,Murder,https://cpj.org/data/people/sai-reddy/index.php
"September 9, 1995","Cherarda, Algeria",Saïd Brahimi,Algerian State Television,Murder,https://cpj.org/data/people/said-brahimi/index.php
"December 4, 1994","Algiers, Algeria",Said Mekbel,Le Matin,Murder,https://cpj.org/data/people/said-mekbel/index.php
"February 2, 2009","Mogadishu , Somalia",Said Tahlil Ahmed,HornAfrik,Murder,https://cpj.org/data/people/said-tahlil-ahmed/index.php
"September 3, 1995","Tizi-Ouzou, Algeria",Saïd Tazrout,Le Matin,Murder,https://cpj.org/data/people/said-tazrout/index.php
"October 17, 1995","Algiers, Algeria",Saïda Djebaili,Al-Hayat al-Arabia,Murder,https://cpj.org/data/people/saida-djebaili/index.php
"March 16, 1997","Srinagar, India",Saidan Shafi,Doordarshan TV,Murder,https://cpj.org/data/people/saidan-shafi/index.php
January 1993,"Dushanbe, Tajikistan",Saidmurod Yerov,Farkhang,Murder,https://cpj.org/data/people/saidmurod-yerov/index.php
"May 17, 2007","Baghdad, Iraq",Saif Laith Yousuf,ABC News,Murder,https://cpj.org/data/people/saif-laith-yousuf/index.php
"January 12, 2016","Baquba, Diyala province, Iraq",Saif Talal,Al-Sharqiya,Murder,https://cpj.org/data/people/saif-talal/index.php
"January 10, 2013","Quetta, Pakistan",Saif ur Rehman,Samaa TV,Dangerous Assignment,https://cpj.org/data/people/saif-ur-rehman/index.php
"August 30, 1998","Jessore, Bangladesh",Saiful Alam Mukul,Daily Runner,Murder,https://cpj.org/data/people/saiful-alam-mukul/index.php
"January 29, 2004","Mansehra, Pakistan",Sajid Tanoli,Shumal,Murder,https://cpj.org/data/people/sajid-tanoli/index.php
"June 29, 2013","Port Said, Egypt",Salah al-Din Hassan,Shaab Masr,Dangerous Assignment,https://cpj.org/data/people/salah-al-din-hassan/index.php
"May 29 or 30, 2011","Mandi Bahauddin, Pakistan",Saleem Shahzad,Asia Times Online,Murder,https://cpj.org/data/people/saleem-shahzad/index.php
"April 30, 2018","Kabul, Afghanistan",Saleem Talash,Mashal TV,Murder,https://cpj.org/data/people/saleem-talash/index.php
"November 18, 2013","Tripoli, Libya",Saleh Ayyad Hafyana,Fassato News Agency,Dangerous Assignment,https://cpj.org/data/people/saleh-ayyad-hafyana/index.php
"April 23, 2005","Mosul, Iraq",Saleh Ibrahim,Associated Press Television News,Crossfire,https://cpj.org/data/people/saleh-ibrahim/index.php
"December 8, 2014","Sheikh Miskeen, Daraa province, Syria",Salem Khalil,Orient News,Crossfire,https://cpj.org/data/people/salem-khalil/index.php
"October 14, 2007","Baghdad, Iraq",Salih Saif Aldin,The Washington Post,Murder,https://cpj.org/data/people/salih-saif-aldin/index.php
"July 1, 1992","Sarajevo, Bosnia",Salko Hondo,Oslobodjenje,Crossfire,https://cpj.org/data/people/salko-hondo/index.php
"June 1, 2017","Between May 18 and June 26, 2017, Mexico",Salvador Adame Pardo,6TV,Murder,https://cpj.org/data/people/salvador-adame-pardo/index.php
"January 5, 2001","Capiibary, Paraguay",Salvador Medina Velázquez,FM Ñemity,Murder,https://cpj.org/data/people/salvador-medina-velazquez/index.php
"May 27, 1999","Kafanchan, Nigeria",Sam Nimfa-Jan,Details,Dangerous Assignment,https://cpj.org/data/people/sam-nimfa-jan/index.php
"April 15, 2005","Kirkuk, Iraq",Saman Abdullah Izzedine,Kirkuk TV,Murder,https://cpj.org/data/people/saman-abdullah-izzedine/index.php
"July 30, 2014","Shijaiyah, Gaza, Israel and the Occupied Palestinian Territory",Sameh al-Aryan,Al-Aqsa TV,Crossfire,https://cpj.org/data/people/sameh-al-aryan/index.php
October 2015 - June 2016,"Deir al-Zour, Syria",Samer Mohammed Aboud,"Free Deir al-Zour Radio, Development Interaction Network",Murder,https://cpj.org/data/people/samer-mohammed-aboud/index.php
"June 27, 2012","Doursha, Syria",Sami Abu Amin,Al-Ikhbariya,Crossfire,https://cpj.org/data/people/sami-abu-amin/index.php
October 2015 - June 2016,"Deir al-Zour, Syria",Sami Jawdat Rabah,Syrian Observatory for Human Rights,Murder,https://cpj.org/data/people/sami-jawdat-rabah/index.php
"September 5, 2018","Kabul, Afghanistan",Samim Faramarz,TOLO News,Dangerous Assignment,https://cpj.org/data/people/samim-faramarz/index.php
"June 2, 2005","Beirut, Lebanon",Samir Qassir,Al-Nahar,Murder,https://cpj.org/data/people/samir-qassir/index.php
"November 5, 1999","Adamawa State, Nigeria",Samson Boyi,The Scope,Crossfire,https://cpj.org/data/people/samson-boyi/index.php
"April 20, 2004","Coronel Sapucaia, Brazil",Samuel Romã,Radio Conquista FM,Murder,https://cpj.org/data/people/samuel-roma/index.php
"March 26, 2018","Ghazipur district, India",Sandeep Sharma,News World,Murder,https://cpj.org/data/people/sandeep-sharma/index.php
"September 21, 1999","Dili, East Timor",Sander Thoenes,Freelancer,Murder,https://cpj.org/data/people/sander-thoenes/index.php
"February 10, 2014","Rio de Janeiro, Brazil",Santiago Ilídio Andrade,Bandeirantes,Dangerous Assignment,https://cpj.org/data/people/santiago-ilidio-andrade/index.php
"November 23, 2009","Ampatuan, Philippines",Santos Gatchalian,DXGO,Murder,https://cpj.org/data/people/santos-gatchalian/index.php
"May 8, 2000","Freetown, Sierra Leone",Saoman Conteh,New Tablet,Dangerous Assignment,https://cpj.org/data/people/saoman-conteh/index.php
"November 22, 2012","Karachi, Pakistan",Saqib Khan,Ummat,Dangerous Assignment,https://cpj.org/data/people/saqib-khan/index.php
"May 5, 2010","Mosul, Iraq",Sardasht Osman,freelance,Murder,https://cpj.org/data/people/sardasht-osman/index.php
"June 27, 2007","Baghdad, Iraq",Sarmad Hamdi Shaker,Baghdad TV,Murder,https://cpj.org/data/people/sarmad-hamdi-shaker/index.php
"May 4, 2008","Mosul, Iraq",Sarwa Abdul-Wahab,freelance,Murder,https://cpj.org/data/people/sirwa-abdel-wahab/index.php
"September 6, 2003","Tokyo, Japan",Satoru Someya,freelance,Murder,https://cpj.org/data/people/satoru-someya/index.php
"November 3, 2012","Tehran, Iran",Sattar Beheshti,Freelance,Dangerous Assignment,https://cpj.org/data/people/sattar-beheshti/index.php
"December 28, 2017","Kabul, Afghanistan",Sayed Mehdi Husaini,Jomhor News Agency,Dangerous Assignment,https://cpj.org/data/people/sayed-mehdi-husaini/index.php
"December 28, 2017","Kabul, Afghanistan",Sayeed Khuda Dad Ahamdi,Afghan Voice Agency,Dangerous Assignment,https://cpj.org/data/people/sayeed-khuda-dad-ahamdi/index.php
"August 29, 1995","Batman, Turkey",Sayfettin Tepe,Yeni Politika,Murder,https://cpj.org/data/people/sayfettin-tepe/index.php
"January 10, 1998","Phichit, Thailand",Sayomchai Vijitwittayapong,Matichon,Murder,https://cpj.org/data/people/sayomchai-vijitwittayapong/index.php
"April 29, 2007","Jaffna, Sri Lanka",Selvarajah Rajeewarnam,Uthayan,Murder,https://cpj.org/data/people/selvarajah-rajeewarnam/index.php
"February 1, 2004","Arbil, Iraq",Semko Karim Mohyideen,freelance,Crossfire,https://cpj.org/data/people/semko-karim-mohyideen/index.php
"June 13, 2007","Bukavu, Democratic Republic of the Congo",Serge Maheshe,Radio Okapi,Murder,https://cpj.org/data/people/serge-maheshe/index.php
"October 3, 1993","Moscow, Russia",Sergei Krasilnikov,Ostankino Television Company,Dangerous Assignment,https://cpj.org/data/people/sergei-krasilnikov/index.php
"February 28, 2015","Peski, Ukraine",Serhiy Nikolayev,Segodnya,Crossfire,https://cpj.org/data/people/serhiy-nikolayev/index.php
"June 17, 2011","Wah Cantonment, Pakistan",Shafiullah Khan,The News,Dangerous Assignment,https://cpj.org/data/people/shafiullah-khan/index.php
"April 30, 2018","Kabul, Afghanistan",Shah Marai,Agence France-Presse,Murder,https://cpj.org/data/people/shah-marai/index.php
"October 20, 2002","Kandhkot, Pakistan",Shahid Soomro,Kawish,Murder,https://cpj.org/data/people/shahid-soomro/index.php
"August 16, 2013","Daraya, Syria",Shahir al-Muaddamani,Local Council of Deraya City Media Office,Crossfire,https://cpj.org/data/people/shahir-al-muaddamani/index.php
"October 29, 1999","Shaami Yurt, Russia",Shamil Gigayev,Nokh Cho TV,Crossfire,https://cpj.org/data/people/shamil-gigayev/index.php
"December 13, 1995","near Grozny, Russia",Shamkhan Kagirov,Rossiskaya Gazeta and Vozrozheniye,Crossfire,https://cpj.org/data/people/shamkhan-kagirov/index.php
"July 16, 2000","Jessore, Bangladesh",Shamsur Rahman,Janakantha,Murder,https://cpj.org/data/people/shamsur-rahman/index.php
"January 1, 2014","Larkana, Pakistan",Shan Dahar,Abb Takk Television,Murder,https://cpj.org/data/people/shan-dahar/index.php
"September 20, 2017","West Tripura district, India",Shantanu Bhowmik,Dinraat,Dangerous Assignment,https://cpj.org/data/people/shantanu-bhowmik/index.php
"May 8, 1999","Belgrade, Yugoslavia",Shao Yunhuan,Xinhua News Agency,Crossfire,https://cpj.org/data/people/shao-yunhuan/index.php
"October 28, 2007","Baghdad, Iraq",Shehab Mohammad al-Hiti,Baghdad al-Youm,Murder,https://cpj.org/data/people/shehab-mohammad-al-hiti/index.php
"August 8, 2016","Quetta, Pakistan",Shehzad Ahmed,Aaj News,Dangerous Assignment,https://cpj.org/data/people/shehzad-khan/index.php
"February 11, 2005","Khulna, Bangladesh",Sheikh Belaluddin,Sangram,Murder,https://cpj.org/data/people/sheikh-belaluddin/index.php
"May 4, 2010","Mogadishu, Somalia",Sheikh Nur Mohamed Abkey,Radio Mogadishu,Murder,https://cpj.org/data/people/sheikh-nur-mohamed-abkey/index.php
"February 25, 2017","Mosul, Iraq",Shifa Zikri Ibrahim (Shifa Gardi),Rudaw TV,Crossfire,https://cpj.org/data/people/shifa-zikri-ibrahim-shifa-gardi/index.php
"February 27, 2008","Baghdad, Iraq",Shihab al-Tamimi,Iraqi Journalists Syndicate,Murder,https://cpj.org/data/people/shihab-al-tamimi/index.php
"May 27, 2004","near Mahmoudiya, Iraq",Shinsuke Hashida,freelance,Crossfire,https://cpj.org/data/people/shinsuke-hashida/index.php
"May 7, 1992","Unknown, Tajikistan",Shirindzhon Amirdzhonov,Tajikistan Radio,Dangerous Assignment,https://cpj.org/data/people/shirindzhon-amirdzhonov/index.php
"May 18 or 19, 2009","Mullivaikkal, Sri Lanka",Shoba,O'liveechchu,Crossfire,https://cpj.org/data/people/shoba/index.php
"June 14, 2018","Srinagar city, India",Shujaat Bukhari,Rising Kashmir,Murder,https://cpj.org/data/people/shujaat-bukhari/index.php
"July 5, 2002","Ula, Bangladesh",Shukur Hossain,Anirban,Murder,https://cpj.org/data/people/shukur-hossain/index.php
"June 5, 1998","Luanda, Angola",Simao Roberto,Journal de Angola,Murder,https://cpj.org/data/people/simao-roberto/index.php
"June 6, 2004","Al-Suwaidi, Saudi Arabia",Simon Cumbers,BBC,Murder,https://cpj.org/data/people/simon-cumbers/index.php
"August 13, 2014","Beit Lahiya, Gaza, Israel and the Occupied Palestinian Territory",Simone Camilli,The Associated Press,Crossfire,https://cpj.org/data/people/simone-camilli/index.php
"February 29, 2008","Mingora, Pakistan",Siraj Uddin,The Nation,Dangerous Assignment,https://cpj.org/data/people/siraj-uddin/index.php
"April 11, 1999","Belgrade, Yugoslavia",Slavko Curuvija,"Dnevni Telegraf, Evropljanin",Murder,https://cpj.org/data/people/slavko-curuvija/index.php
"September 25, 1994","Algiers, Algeria",Smail Sbaghdi,Algerian Press Service,Murder,https://cpj.org/data/people/smail-sbaghdi/index.php
"October 18, 1993","Algiers, Algeria",Smail Yefsah,Algerian State Television,Murder,https://cpj.org/data/people/smail-yefsah/index.php
"April 4, 2006","Baghdad, Iraq",So'oud Muzahim al-Shoumari,Al-Baghdadia,Murder,https://cpj.org/data/people/sooud-muzahim-al-shoumari/index.php
"December 13, 2016","Monywa, Myanmar",Soe Moe Tun,Daily Eleven,Murder,https://cpj.org/data/people/soe-moe-tun/index.php
"July 19, 2010","Athens, Greece",Sokratis Giolias,"Thema 98.9, Troktiko",Murder,https://cpj.org/data/people/sokratis-giolias/index.php
"April 16, 2015","Monkoto, Equateur Province, Democratic Republic of the Congo",Soleil Balanga,Radio Monkoto Soso Aleli,Murder,https://cpj.org/data/people/soleil-balanga/index.php
"August 22, 2002","San Pablo, Philippines",Sonny Alcantara,"""Quo Vadis San Pablo"" and Kokus",Murder,https://cpj.org/data/people/sonny-alcantara/index.php
"July 21, 2008","Kirkuk, Iraq",Soran Mama Hama,Livin,Murder,https://cpj.org/data/people/soran-mama-hama/index.php
"August 12, 2008","Gori, Georgia",Stan Storimans,RTL Nieuws,Crossfire,https://cpj.org/data/people/stan-sorimans/index.php
"January 9, 2010","Cabinda province, Angola",Stanislas Ocloo,Télévision Togolaise,Dangerous Assignment,https://cpj.org/data/people/stanilas-ocloo/index.php
"January 7, 2015","Paris, France",Stephane Charbonnier (Charb),Charlie Hebdo,Murder,https://cpj.org/data/people/stephane-charbonnier-charb/index.php
"June 19, 2017","Mosul, Iraq",Stephane Villeneuve,#5BisProduction,Crossfire,https://cpj.org/data/people/stephane-villeneuve/index.php
"August or September, 2014","Unknown, Syria",Steven Sotloff,Freelance,Murder,https://cpj.org/data/people/steven-sotloff/index.php
"August 3, 2005","Basra, Iraq",Steven Vincent,freelance,Murder,https://cpj.org/data/people/steven-vincent/index.php
"April 16, 2007","an area near Vavuniya, Sri Lanka",Subash Chandraboas,Nilam,Murder,https://cpj.org/data/people/subash-chandraboas/index.php
"January 24, 2006","Trincomalee, Sri Lanka",Subramaniyam Sugitharajah,Sudar Oli,Murder,https://cpj.org/data/people/subramaniyam-sugitharajah/index.php
"July 7, 2017","Imam Gharbi, near Mosul, Iraq",Sudad Faris,Salaheddin TV,Crossfire,https://cpj.org/data/people/sudad-faris/index.php
"November 21, 2017","West Tripura district, India",Sudip Dutta Bhaumik,Syandan Patrika,Murder,https://cpj.org/data/people/sudip-dutta-bhaumik/index.php
"May 2, 2000","Badin, Pakistan",Sufi Mohammad Khan,Ummat,Murder,https://cpj.org/data/people/sufi-mohammad-khan/index.php
